,tweed_id,hashtag,time_in_day,tweet_length,is_user_verified,user_followers,user_followers_group,tweet_likes,tweet_has_media_attached,is_popular,retweet_count
2153,1408055055484338185,1,2,139,0,17446,3,6,0,0,1
2154,1408055044751036419,1,2,131,0,4707,2,1,0,0,0
2155,1408054972009361409,1,2,140,0,26568,3,1,0,0,0
2156,1408054925808918528,1,2,140,0,503,1,0,0,0,0
2157,1408054885141016576,1,2,140,0,2671,2,0,0,0,1
2158,1408054855483133956,1,2,139,1,17131,3,12,0,0,7
2159,1408054783341207554,1,2,139,0,3209,2,0,0,0,2
2160,1408054528340017153,1,2,140,1,5945,3,3,0,0,1
2161,1408054349654368260,1,2,140,0,11244,3,0,0,0,1
2162,1408054238584860674,1,2,140,0,2671,2,0,0,0,0
2163,1408054222361407488,1,2,138,0,117,1,1,0,0,1
2164,1408054169873813509,1,2,124,0,512,1,0,0,0,0
2165,1408053836787470341,1,2,132,0,4988,2,8,0,0,3
2166,1408053766222278660,1,2,140,0,6,1,2,0,0,1
2167,1408053637490827265,1,2,126,0,61,1,0,0,0,0
2168,1408053602892058627,1,2,135,0,17446,3,21,0,0,4
2169,1408053540447305729,1,2,139,0,1196,2,0,0,0,0
2170,1408053317679210499,1,2,125,0,48,1,0,0,0,0
2171,1408053262935330819,1,2,143,0,3748,2,10,0,0,1
2172,1408053242722881538,1,2,140,0,4988,2,5,0,0,0
2173,1408053240042827779,1,2,140,1,528816,3,13,0,0,4
2174,1408053089462935553,1,2,140,0,3,1,2,0,0,1
2175,1408052942247284744,1,2,97,0,1234,2,1,0,0,1
2176,1408052742115844101,1,2,72,0,841,1,1,1,0,0
2177,1408052541619937280,1,2,140,0,2900,2,0,0,0,0
2178,1408052516458225664,1,2,111,0,242,1,0,0,0,0
2179,1408052426033168386,1,2,140,0,971,1,0,0,0,0
2180,1408052415413301250,1,2,131,0,1066,2,3,0,0,2
2181,1408052399093207042,1,2,139,0,1196,2,1,0,0,0
2182,1408052379128414208,1,2,132,0,3209,2,1,0,0,0
2183,1408052274950115329,1,2,140,0,971,1,1,0,0,0
2184,1408052250891722754,1,2,139,0,5366,3,9,0,0,0
2185,1408052018254467073,1,2,98,0,108,1,0,0,0,0
2186,1408052014601359365,1,2,140,0,1536,2,1,0,0,0
2187,1408052005520789504,1,2,140,0,2965,2,1,0,0,1
2188,1408051835819249665,1,2,96,0,1674,2,0,0,0,0
2189,1408051817280421888,1,2,136,0,400,1,0,0,0,0
2190,1408051809202081793,1,2,139,0,560,1,0,0,0,0
2191,1408051732463116291,1,2,133,0,984,1,0,0,0,0
2192,1408051710359130112,1,2,140,0,235,1,0,0,0,0
2193,1408051475859886092,1,2,140,0,206,1,0,0,0,0
2194,1408051444041850883,1,2,140,1,30737,3,12,0,0,4
2195,1408051258955550720,1,2,138,0,235,1,2,0,0,0
2196,1408051146124525568,1,2,126,0,1052,2,0,0,0,0
2197,1408051071654715395,1,2,125,0,946,1,0,0,0,0
2198,1408051049504690179,1,2,140,0,1577,2,4,0,0,3
2199,1408050934886780929,1,2,119,0,1052,2,0,0,0,0
2200,1408050831396589573,1,2,140,0,72,1,0,0,0,0
2201,1408050680103907330,1,2,140,0,50,1,0,0,0,0
2202,1408050663070699520,1,2,140,0,1052,2,0,0,0,0
2203,1408050336565272578,1,2,136,0,5468,3,3,0,0,0
2204,1408050273906573316,1,2,137,0,220,1,0,0,0,7
2205,1408050202922131464,1,2,140,0,428,1,2,0,0,1
2206,1408050187285630981,1,2,109,0,108,1,0,0,0,0
2207,1408050170055467014,1,2,140,0,24273,3,1,0,0,0
2208,1408050030578122758,1,2,138,0,17446,3,1,1,0,1
2209,1408050028367724544,1,2,143,0,3748,2,12,0,0,4
2210,1408050019039682561,1,2,139,0,283,1,5,0,0,0
2211,1408049936487399429,1,2,139,0,361,1,0,0,0,0
2212,1408049771172929543,1,2,128,1,1648120,3,36,0,0,4
2213,1408049755096326146,1,2,140,0,2671,2,0,0,0,1
2214,1408049748284567558,1,2,146,0,93,1,2,0,0,0
2215,1408049460358402058,1,2,90,0,2135,2,3,0,0,0
2216,1408049423859523589,1,2,140,0,1288,2,0,0,0,0
2217,1408049398727258117,1,2,140,0,1109,2,0,0,0,0
2218,1408049118115729412,1,2,140,0,708,1,2,0,0,1
2219,1408049100226928646,1,2,60,0,683,1,3,0,0,0
2220,1408049015732588547,1,2,140,0,183,1,1,0,0,0
2221,1408048955871711232,1,2,133,0,17446,3,8,0,0,5
2222,1408048566556401664,1,2,140,0,815,1,0,0,0,0
2223,1408048553176403985,1,2,75,0,1361,2,0,0,0,0
2224,1408048506170920963,1,2,102,0,10,1,1,1,0,0
2225,1408048438508392451,1,2,140,0,1262,2,0,0,0,0
2226,1408048355910074368,1,2,140,0,3,1,0,0,0,0
2227,1408048056826740737,1,2,140,1,3705,2,7,0,0,0
2228,1408048045258838023,1,2,139,0,306,1,0,0,0,0
2229,1408047955643453443,1,2,44,0,6637,3,1,1,0,0
2230,1408047757785395203,1,2,140,1,5543,3,0,0,0,1
2231,1408047742736285698,1,2,140,0,37777,3,23,0,1,16
2232,1408047692522078211,1,2,140,1,106295,3,113,0,1,46
2233,1408047497948413961,1,2,141,0,9612,3,1,0,0,2
2234,1408047471868190723,1,2,140,0,74798,3,31,0,0,6
2235,1408047410396467202,1,2,72,0,396,1,0,0,0,0
2236,1408047259657412616,1,2,139,0,4129,2,39,0,1,20
2237,1408047259422429187,1,2,140,0,65517,3,1,0,0,0
2238,1408047259384619010,1,2,120,0,221,1,0,0,0,1
2239,1408047255203069970,1,2,140,0,6916,3,0,0,0,0
2240,1408047254309584897,1,2,140,0,2951,2,0,0,0,1
2241,1408047193609605126,1,2,75,0,396,1,0,0,0,0
2242,1408047148558696451,1,2,148,0,2340,2,16,0,0,4
2243,1408047057860968452,1,2,140,0,202,1,1,0,0,0
2244,1408046921500008454,1,2,140,0,1527,2,1,0,0,0
2245,1408046835520974849,1,2,140,0,81809,3,1,0,0,0
2246,1408046737114251264,1,2,140,0,2264,2,0,0,0,0
2247,1408046716918525961,1,2,140,0,269,1,0,0,0,0
2248,1408046707720527875,1,2,127,0,2671,2,0,0,0,2
2249,1408046682038669313,1,2,140,1,18882,3,27,0,1,11
